Date,Branch,Location,Feeder,Category,Fault,Areas Affected
25/04/2022,Akowonjo,Dopemu,33 KV,Feeder,OUTAGE ON DUNLOP 33KV,"KOWONJO ROUND AROUND, CENENT, AJAYI FARM, MANGORO AREA, CAPITOL ROAD, OLAYIWOLA STREET, UNION ROAD, IKUOMOLA STREET"
26/04/2022,Abule Egba,Akute,33 KV,Feeder,AKUTE 33KV FEEDER ON FAULT,AKUTE
26/04/2022,Ikeja,OJODU,Not Specified,Planned,EMERGENCY OUTAGE,OJODU
28/04/2022,Ikeja,OJODU,Not Specified,Planned,FAULT,RIVER VALLEY AND EXPRESS
28/04/2022,Shomolu,OWORO,11 KV,Feeder,WESTEX 11KV FEEDER ON FAULT,WESTEX
29/04/2022,Shomolu,Magodo,33 KV,Feeder,FAULT AFFECTING A PORTION OF OPIC 33KV FEEDER,OPIC- 33-ALAUSATCN-OPIC-CHELSEA 33-ALAUSATCN-OPIC-ISHERI OLOFIN 2 33-ALAUSATCN-OPIC-ISHERI OLOFIN 1 33-ALAUSATCN-OPIC-HARMONY VILLAS 33-ALAUSATCN-OPIC-WIHU LTD 1 33-ALAUSATCN-OPIC-SINOPOLY 33-ALAUSATCN-OPIC-GREAT SINO 33-ALAUSATCN-OPIC-GOLDEN SPRING HOTEL 33-ALAUSATCN-OPIC-GERADISCO 33-ALAUSATCN-OPIC-DYNASTY FURNITURE COMPANY 33-ALAUSATCN-OPIC-COREANA NIG. LTD. 33-ALAUSATCN-OPIC-B.A. KHOLON NIG LTD
29/04/2022,Abule Egba,FAGBA,Not Specified,Feeder,FAULT AFFECTING 11-AGEGEINJ-T1-OKO OBA-ORONA 2,OKO-OBA
29/04/2022,Abule Egba,AKUTE,Not Specified,Feeder,FAULT/DEFECTS AFFECTING JEHOVAH SHALOM 2 ON JOLASCO 11KV FEEDER,JOLASCO
04/05/2022,Akowonjo,Ayobo,Not Specified,Human,VANDALIZED 11-AYETOROINJ-T1-BADA-IJAN ROAD,11-AYETOROINJ-T1-BADA-IJAN ROAD
04/05/2022,Akowonjo,AYobo,Not Specified,Transformer (N/S),BURNT 11-AYETOROINJ-ITELE-AYOLO XLPE CABLE,11-AYETOROINJ-ITELE-AYOLO
04/05/2022,Akowonjo,AYobo,Not Specified,Transformer (N/S),BURNT 11-AYETOROINJ-ITELE-AYOLO XLPE CABLE,11-AYETOROINJ-ITELE-AYOLO
04/05/2022,Akowonjo,ORIle-Agege,Not Specified,Transformer (N/S),PROLONGED OUTAGE ON 11-AGEGEINJ-T3-PEN CINEMA,AGEGE PEN CINEMA
06/05/2022,Akowonjo,Aboru,Not Specified,Notification,CNN MESSAGE TO ARIGBANLA 11KV CUSTOMERS,ARIGBANLA
06/05/2022,Shomolu,Ilupeju,Not Specified,Human,FALLEN POLES ON FEEDER,11-ILUPEJUINJ-T3-COKER-SURA MOGAJI 1 11-ILUPEJUINJ-T3-COKER-SURA MOGAJI 2 11-ILUPEJUINJ-T3-COKER-OBA ADETONA 11-ILUPEJUINJ-T3-COKER-KEHINDE AKAMO 11-ILUPEJUINJ-T3-COKER-TRAFFIC LIGHT 11-ILUPEJUINJ-T3-COKER-SERE CLOSE 11-ILUPEJUINJ-T3-COKER-AYODELE OJO 11-ILUPEJUINJ-T3
07/05/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTIFICATION TO CUSTOMERS (AMUSAN HVDS 6),OKO-OBA
10/05/2022,Akowonjo,GOWON-ESTATE,,Human,FALLEN HT WOODEN POLE AT AKINYELE BUS STOP GOWON ESTATE UT,AKINYELE BUS STOP GOWON ESTATE UT
11/05/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTIFICATION TO CUSTOMERS,FAGBA
12/05/2022,Abule Egba,FAGBA,Not Specified,Transformer (N/S),FAULT AFFECTING 11-BECKLEYINJ-T1-BECKLEY-AINA 1,11-BECKLEYINJ-T1-BECKLEY-AINA 1
13/05/2022,Shomolu,Ilupeju,Not Specified,Notification,CUSTOMER NOTIFICATION NEEDED,"OREMEJI STREET, OBANLE ARO STREET, AKINSETE DRIVE"
13/05/2022,Akowonjo,ipaja,Not Specified,Planned,EMERGENCY OUTAGE ON T2-100MVA SECONDARY BREAKER ALIMOSHO TS,"ALIMOSHO ROAD , AKOWONJO ROUND ABOUT, OKUNOLA AREA, ORILE ROAD ,OWOLEWA, MAPPLE WOOD, ABBATTOR, WILLIAMS ESTATE, AMOO RD, IPAJA RD OKO BOA , DOPEMU RD, GOWON ESTATE, OLORUN ADABA, AGBELE ENVIRON, OKUNOLA"
15/05/2022,Shomolu,Ilupeju,Not Specified,Transformer (N/S),FAULT ON 11-ILUPEJU BYPASSINJ-T1-BYPASS 11-ILUPEJU BYPASSINJ-T1-INDUSTRIAL 11-ILUPEJU BYPASSINJ-T1-OBANIKORO,"INDUSTRIAL AVENUE, ILUPEJU BYPASS, CRYSTAL ESTATE, TOWN PLANNING WAY, OBANIKORO AND ESTHER OSHIYEMI STREET"
17/05/2022,Abule Egba,adiyan,Not Specified,DT,FAULT AFFECTING CUSTOMERS ON MUTA 3 500KVA DT,MUTA
21/05/2022,Abule Egba,FAGBA,11 KV,Feeder,OUTAGE ALERT: BOOKS 11KV FEEDER,BOOKS
21/05/2022,Abule Egba,AKUTE,Not Specified,Feeder,OUTAGE ON ISHASHI FEEDER,ISHASHI
22/05/2022,Abule Egba,IJU,Not Specified,Feeder,OUTAGE ON 11-OBAWOLEINJ-T1-YOUDEOWEI FEEDER,OBAWOLE
27/05/2022,Akowonjo,AYobo,Not Specified,Transformer (N/S),FAULT ON 11-AYETOROINJ-T1-ITELE-IREPODUN,ITELE
06/06/2022,Akowonjo,abule,Not Specified,DT,FATAI DT FAULT,11-ALIMOSHOINJ-T4-AKOWONJO
09/06/2022,Akowonjo,AIT,Not Specified,DT,DT FAULT,AIT
13/06/2022,Akowonjo,abule,Not Specified,Transformer (N/S),OUTAGE ON 11-SHASHAINJ-T1-COKER ESTATE,"ORELOPE, ABULE ODU"
16/06/2022,Abule Egba,iju,Not Specified,HVDS,OUTAGE ON 14 ALHAJI AJISAFE HVDS,11-OBAWOLEINJ-T1-YOUDEOWEI
18/06/2022,Akowonjo,abule,11 KV,Feeder,FAULTY OGUNTADE 11KV FEEDER,SHASHA
20/06/2022,Abule Egba,adiyan,11 KV,Feeder,fAULT AFFECTING CUSTOMERS ON IJOKO 11KV FEEDER,ADIYAN
22/06/2022,Akowonjo,ait,11 KV,Feeder,OUTAGE ON AGBEFA 11KV FEEDER,ait
25/06/2022,Abule Egba,lambe,Not Specified,DT,DT FAULT,matogun
26/06/2022,Akowonjo,Egbeda,Not Specified,Notification,REQUEST FOR NOTIFICATION,EGBEDA; ALIMOSHO
27/06/2022,Akowonjo,abule,Not Specified,Human,VANDALISED CABLE AT OWOMIDE 500KVA SUBSTATION,abule odu
27/06/2022,Akowonjo,abule,Not Specified,Transformer (N/S),11-ABULE TAYLORINJ-T1-WALTER ANDERM-OREMEJI ON FAULT,ABULE TAYLOR
27/06/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTIFICATION TO CUSTOMERS,FAGBA
30/06/2022,Shomolu,Magodo,Not Specified,Feeder,11-MAGODOINJ-T1-EMMANUEL KESHI FEEDER OUT ON FAULT,MAGODO
02/07/2022,Shomolu,OWORO,Not Specified,Notification,CUSTOMER NOTIFICATION NEEDED,AKOKA
02/07/2022,Abule Egba,ADIYAN,Not Specified,DT,FAULT AFFECTING CUSTOMERS ON ITOKI 500KVA DT,ITOKI
04/07/2022,Akowonjo,AIT,Not Specified,DT,DT FAULT,AIT
05/07/2022,Ikeja,PTC,Not Specified,Transformer,FAULT ON ODUDUWA CRESCENT I 500KVA,
06/07/2022,Abule Egba,IJU,Not Specified,Transformer (N/S),OUTAGE ON 44 IJU ROAD (OKE ONA),IJU
06/07/2022,Shomolu,Magodo,Not Specified,DT,DT FAULT,JUBRIL LIADI
06/07/2022,Shomolu,IKOSI,Not Specified,DT,"SAMUEL DUROJAIYE 500KVA DT , IKOSI FEEDER",IKOSI
06/07/2022,Abule Egba,ADIYAN,Not Specified,DT,DT FAULT,ADIYAN
07/07/2022,Abule Egba,ADIYAN,Not Specified,Feeder,OUTAGE ON 11-YIDIINJ-T1-OSOBA FEEDER,ADIYAN
08/07/2022,Akowonjo,ABORU,Not Specified,Feeder,FEEDER FAULT ON 33-AYOBOTCN-ABULE TAYLOR,ABORU
09/07/2022,Akowonjo,OKE,Not Specified,Feeder,POWER OUTAGE,OKE ODO
09/07/2022,Akowonjo,ABULE,Not Specified,Feeder,POWER OUTAGE,ABULE TAYLOR
09/07/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTiFICATION TO CUSTOMERS,FAGBA
09/07/2022,Abule Egba,FAGBA,Not Specified,Notification,NOTiFICATION TO CUSTOMERS,OKO OBA
09/07/2022,Shomolu,Igbobi,Not Specified,Feeder,FEEDER FAULT,IGBOBI
11/07/2022,Abule Egba,ADIYAN,Not Specified,DT,DT FAULT,DAVID CAMP
12/07/2022,Shomolu,OWORO,Not Specified,Notification,CUSTOMER NOTIFICATION NEEDED,OWORO
12/07/2022,Shomolu,MAGODO,Not Specified,Notification,OUTAGE NOTIFICATION ON UNILAG 1 300KVA ON UNILAG FEEDER,UNILAG
13/07/2022,Akowonjo,ABULE,Not Specified,DT,DT FAULT,ABULE ODU
14/07/2022,Ikeja,ANIFOWOSHE,Not Specified,Notification,REQUEST FOR CUSTOMER NOTIFICATION,"ALAUSA, OPEBI, OREGUN"
17/07/2022,Shomolu,KETU,Not Specified,Human,PUNCTURED INTERCONNECTOR CABLE FAULT,KETU AND ENVIRONS
20/07/2022,Shomolu,MAGODO,Not Specified,Notification,OUTAGE NOTIFICATION ON ISHERI NORTH 1 ON AKUTE FEEDER.,ISHERI NORTH
20/07/2022,Akowonjo,ABORU,Not Specified,DT, DT FAULT,ABORU
22/07/2022,Abule Egba,IJU,Not Specified,DT,"OUTAGE ON 11-OBAWOLEINJ-T1-YOUDEOWEI-MITCHEL 500KVA DT, 11-YIDIINJ-T1-OSOBA-ARE-AGO 500KVA DT",IJU
22/07/2022,Abule Egba,lambe,11 KV,Substation,FAULT/OUTAGE AFFECTING SWEET JESUS 50KVA S/S ON JOLASCO 11KV FEEDER,LAMBE
28/07/2022,Shomolu,Ilupeju,Not Specified,Notification,CUSTOMER NOTIFICATION NEEDED,ILUPEJU
29/07/2022,Shomolu,OLATEJU,Not Specified,DT,DT FAULT,OLOSAN POLICE BARRACK
30/07/2022,Akowonjo,ORIle-Agege,Not Specified,Feeder,FEEDER FAULT,AGEGE
31/07/2022,Ikeja,OREGUN,Not Specified,DT,DT FAULT,ALLEN
01/08/2022,Ikeja,OREGUN,Not Specified,DT,DT FAULT,UAC-SANYAOLU DT
01/08/2022,Ikeja,OGBA,Not Specified,Substation,FAULT AT TOKUNBO ALLI 500KVA S/S,11-PTCINJ-T1-OPEBI-TOKUNBO ALLI
03/08/2022,Abule Egba,AKUTE,Not Specified,DT,DT FAULT,GBADAMOSI
04/08/2022,Abule Egba,FAGBA,Not Specified,DT,DT FAULT,FUNSHO OWOYEMI
05/08/2022,Shomolu,OLATEJU,Not Specified,Transformer (N/S),FAULT ON 11-MUSHININJ-T1-MUSHIN 2-AWOYEJO,OLATEJU
06/08/2022,Akowonjo,ABULE,Not Specified,DT,DT FAULT,"ABULE ODU UNDERTAKING, SOSANYA DT"
06/08/2022,Abule Egba,FAGBA,Not Specified,Feeder,FEEDER FAULT,FAGBA
07/08/2022,Akowonjo,ABULE,Not Specified,DT,DT FAULT,11-ALIMOSHOINJ-T1-ORELOPE-KARIMU LAKA
08/08/2022,Ikeja,OREGUN,Not Specified,Notification,REQUEST FOR NOTIFICATION,"IFAKO, OREGUN"
11/08/2022,Abule Egba,AKUTE,Not Specified,Breaker,SHATTERED INSULATOR/BUSHING AT 33-OKE-AROTCN-AKUTE-MERIDIAN PARK SKIPPER PANEL,MERIDIAN PARK
11/08/2022,Ikeja,OJODU,Not Specified,DT,11-OJODUINJ-T1-ALAGBOLE-JIBEWA 500KVA DT ON FAULT,OJODU
14/08/2022,Shomolu,MAGODO,Not Specified,Transformer,OUTAGE ON MAGODO T1 15MVA,MAGODO
15/08/2022,Ikeja,OBA,Not Specified,Feeder,FAULT OUTAGE,RIVER VALLEY AND EXPRESS
15/08/2022,Abule Egba,IJU,Not Specified,HVDS,OUTAGE ON 4 IYABO WILIAMS HVDS,IJU
16/08/2022,Akowonjo,EGBEDA,Not Specified,Notification,REQUEST FOR NOTIFICATION,11-ALIMOSHOINJ-T6-SHASHA-BAYO OSIBELUWO 500KVA
16/08/2022,Akowonjo,ABULE,11 KV,Feeder,BAD WOODEN POLE ON SHASHA 11KV FEEDER,"SHASHA, ABULE ODU"
16/08/2022,Ikeja,ANIFOWOSHE,Not Specified,Transformer (N/S),FAULT ON ORIMOLADE II 300KVA,ORIMOLADE
18/08/2022,Shomolu,MAGODO,33 KV,Feeder,OUTAGE ON MAGODO 33KV FEEDER,MAGODO
19/08/2022,Ikeja,OGBA,Not Specified,TCN,tRIPPING ON T3-60MVA OGBA TCN AFFECTING ADENIYI JONES ISS,TCN AFFECTING ADENIYI JONES ISS
20/08/2022,Abule Egba,IJU,33 KV,Feeder,EMERGENCY OUTAGE ON OLD IJU WATER WORKS 33KV FFEEDER,"IKEJA, IJU"
22/08/2022,Ikeja,OBA,11 KV,Feeder,OUTAGE ON OBA AKRAN 11KV FEEDER,OBA AKRAN
23/08/2022,Ikeja,OREGUN,Not Specified,Transformer,OUTAGE ON T3 60MVA ALAUSA TS,"MARWA GARDEN,AGIDINGBI RD OMOLE ESTATE,7UP RD, OJODU"
23/08/2022,Abule Egba,lambe,11 KV,Substation,FAULT/OUTAGE AFFECTING CSP 1 LIASU ATILOLA 50KVA S/S ON JOLASCO 11KV FEEDER,LAMBE
23/08/2022,Abule Egba,AKUTE,Not Specified,Substation,OUTAGE ALERT: ABULE IROKO INJECTION STATION,AKUTE
24/08/2022,Abule Egba,ADIYAN,Not Specified,DT,FAULT AFFECTING MAKINDE 500KVA DT,MAKINDE 
24/08/2022,Shomolu,Ilupeju,132 KV,Planned,PLANNED OUTAGE REQUEST ON ILUPEJU/AKANGBA 132KV LINE,ILUPEDJU/AKANGBA
24/08/2022,Ikeja,OREGUN,33 KV,Planned,PLANNED OUTAGE REQUEST ON MARYLAND ALAUSA 33KV FEEDER,"WASIMI, MARYLAND AND ENVIRON, LAGOS /IBADAN EXPRESS ROAD"
25/08/2022,Ikeja,OGBA,Not Specified,Transformer,OUTAGE ON T3 60MVA OGBA TCN,"IFAKO, OGBA, ANIFOWOSHE, PTC, IJU"
25/08/2022,Ikeja,ANIFOWOSHE,Not Specified,Transformer,EMERGENCY OUTAGE ON T1 45MVA ALAUSA,ALAUSA 
25/08/2022,Akowonjo,ABULE,Not Specified,Transformer (N/S),FAULTY 11-SHASHAINJ-T1-COKER-ORCHARD PALACE 2 500KVA,11-SHASHAINJ-T1-COKER-ORCHARD PALACE 2 500KVA
26/08/2022,Ikeja,OBA,Not Specified,Planned,PLANNED OUTAGE,OMOLE
29/08/2022,Akowonjo,ABORU,33 KV,Feeder,OUTAGE ON IPAJA EKORO 33KV,"OKE-ODO, OLD OTTA ROAD, AJASA AREA, EKORO ROAD, AGBELE ROAD"
29/08/2022,Akowonjo,ABORU,Not Specified,Transformer,OUTAGE ON T2 100MVA TRANSFORMER ALIMOSHO TS,"ALIMOSHO ROAD , AKOWONJO ROUND ABOUT, OKUNOLA AREA, ORILE ROAD ,OWOLEWA, MAPPLE WOOD, ABBATTOR, WILLIAMS ESTATE, AMOO RD, IPAJA RD OKO BOA , DOPEMU RD, GOWON ESTATE, OLORUN ADABA, AGBELE ENVIRON, OKUNOLA, ABULE ODU, ORILE AGEGE,"
05/09/2022,Ikeja,OKEIRA,33 KV,Planned,PLANNED OUTAGE REQUEST ON CISCO 33KV FEEDER,"OKE IRA, IFAKO, OGBA"
05/09/2022,Ikeja,OBA,33 KV,Planned, PLANNED OUTAGE REQUEST ON ALAUSA 33KV FEEDER,"AWOLOWO WAY, BILLINGS WAY, OMOLE, LATEEF JAKANDE, AGIDINGBI, ABIOLA ESTATE. UAC, ELEGANZA"
07/09/2022,Abule Egba,ADIYAN,Not Specified,Planned,PLANNED OUTAGE ON T6 60MVA OKE ARO TS,"OPEILU, AGBADO, ASORO, WATERWORKS, ABORO, ISHAGA, AJUWON, GALILEE, GRAILAN ESTATE, IJOKO, CROSSING AND ENVIRONS"
08/09/2022,Ikeja,OREGUN,33 KV,Feeder,OUTAGE ON OPEBI 33KV,"OPEBI, OREGUN OLUSOSUN"
10/09/2022,Shomolu,ketu,132 KV,Planned,PLANNED OUTAGE MARYLAND 132KV LINE,"OWODE ONIRIN, IRAWO, AJEGUNLE, OJOTA, MARYLAND, IKEJA GRA, KETU, AGILITI AND MILE 12"
10/09/2022,Ikeja,OREGUN,33 KV,Planned,PLANNED OUTAGE ON NEW ALAUSA 33KV,"AWOLOWO WAY, BILLINGS WAY, OMOLE, LATEEF JAKANDE, AGIDINGBI, ABIOLA ESTATE. UAC, ELEGANZA"
10/09/2022,Shomolu,KETU,Not Specified,Notification,OUTAGE NOTIFICATION,MENDE IKOSI KETU OGUDU
13/09/2022,Ikeja,OGBA,Not Specified,Transformer,OUTAGE ON T3 60MVA OGBA TS,"IFAKO, OBAWOLE, AJAO, ANIFOWOSE"
14/09/2022,Akowonjo,ABULE,Not Specified,Transformer,EMERGENCY OUTAGE ON T2 100MVA ALIMOSHO TS,"ALIMOSHO ROAD , AKOWONJO ROUND ABOUT, OKUNOLA AREA, ORILE ROAD , OWOLEWA, MAPPLE WOOD, ABBATTOR, WILLIAMS ESTATE, AMOO RD, IPAJA RD OKO BOA , DOPEMU RD, GOWON ESTATE, OLORUN ADABA, AGBELE ENVIRON, OKUNOLA, ABULE ODU, ORILE AGEGE"
20/09/2022,Ikeja,OJODU,Not Specified,Substation,WAKATI ADURA I 500KVA SUBSTATION ON FAULT.,"WAKIITI, OJODU"
21/09/2022,Shomolu,OWORO,Not Specified,Notification,REQUEST TO NOTIFY OUR CUSTOMERS ON 11-OWOROINJ-T1-HOSPITAL-GLORY ESTATE DT OF THE REASON FOR THEIR OUTAGE. TICKET NO SR-3745407,OWORO
30/09/2022,Shomolu,Igbobi,Not Specified,Notification,CUSTOMER NOTIFICATION NEEDED,11-IGBOBIINJ-T3-RAILWAY
01/10/2022,Ikeja,ANIFOWOSHE,Not Specified,Transformer,EMERGENCY OUTAGE ON T3 60MVA OGBA TS,"IFAKO, OBAWOLE, AJAO, ANIFOWOSE"
01/10/2022,Abule Egba,IJU,Not Specified,HVDS,OUTAGE ON 8 IJU ROAD HVDS,8 IJU ROAD HVDS
02/10/2022,Ikeja,OREGUN,Not Specified,Transformer,T1 45MVA OPENED ON EMERGENCY,"ALLEN, OREGUN, SIYANBOLA, MORRISON, ALAUSA, KUDIRAT, AGBAOKU, SALVATION, OLUSOSUN"
03/10/2022,Akowonjo,AYobo,33 KV,Planned,PLANNED OUTAGE REQUEST ON ABESAN 33KV FEEDER,
03/10/2022,Akowonjo,AYOBO,Not Specified,Planned,"PLANNED OUTAGE REQUEST ON T1-60MVA, AYOBO TS",AYOBO
05/10/2022,Akowonjo,AYOBO,Not Specified,Planned,"PLANNED OUTAGE REQUEST ON T1-60MVA, AYOBO TS",AYOBO
05/10/2022,Shomolu,KETU,Not Specified,Transformer (N/S),POWER OUTAGE ON ORIOLA II 500KVA,ORIOLA
05/10/2022,Abule Egba,ADIYAN,33 KV,Planned,PLANNED OUTAGE REQUEST ON YIDI 33KV FEEDER,"YIDI,OPEILU & OBAWOLE"
06/10/2022,Akowonjo,ABULE,Not Specified,Transformer,EMERGENCY OUTAGE ON T2 100MVA ALIMOSHO,ALIMOSHO
07/10/2022,Akowonjo,ABULE,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ABULE TAYLOR 33KV FEEDER,ABULE TAYLOR
07/10/2022,Ikeja,OREGUN,Not Specified,Transformer,EMERGENCY OUTAGE ON T3 60MVA TRANSFORMER AT ALAUSA TS,ALAUSA
08/10/2022,Akowonjo,EGBEDA,Not Specified,Transformer, OUTAGE ON T2 100MVA TRANSFORMER ALIMOSHO,ALIMOSHO
08/10/2022,Akowonjo,IPAJA,11 KV,Feeder,OUTAGE ON IGE 11KV AND ISOTO 11KV FEEDERS,"IGE, ISOTO"
09/10/2022,Ikeja,anifOWOSHE,33 KV,Planned,PLANNED OUTAGE REQUEST ON OPEBI 33KV FEEDER,"AGBAOKU,SALVATION, OLUSOSUN"
09/10/2022,Shomolu,Olowora,Not Specified,Transformer (N/S),FAULTY 11-ISHERIINJ-T1-ISHERI-PASTOR FRED WITH LOW INSULATION RESISTANCE,ISHERI
09/10/2022,Akowonjo,AYOBO,33 KV,Planned,PLANNED OUTAGE REQUEST ON ABESAN 33KV FEEDER,ABESAN
10/10/2022,Shomolu,MAGODO,11 KV,Feeder,MAIDAN 500KVA ON AGILITI 11KV FEEDER IS OUT ON FAULT,MAIDAN
21/10/2022,Shomolu,KETU,Not Specified,Notification,CNN REQIRED,"ANTHONY, KETU"
21/10/2022,Ikeja,OJODU,33 KV,Breaker,TCN BREAKER FAULT ON OJODU 33KV FEEDER,"OJODU, BERGER"
25/10/2022,Abule Egba,IJU,33 KV,Feeder,EMERGENCY OUTAGE ON NEW IJU 33KV FEEDER,IJU
27/10/2022,Akowonjo,AYOBO,33 KV,Feeder,PLANNED OUTAGE REQUEST ON AMIKANLE 33KV FEEDER,AMINKALE
27/10/2022,Ikeja,PTC,33 KV,Feeder,EMERGENCY OUTAGE ON MARYLAND PTC 33KV,"MARYLAND, PTC"
29/10/2022,Ikeja,OREGUN,Not Specified,Transformer,EMERGENCY OUTAGE ON T3 60MVA TRANSFORMER AT ALAUSA TS,"MARWA GARDEN, AGIDINGBI, OMOLE, MAGODO ESTATE, CMD ROAD, ISHERI"
30/10/2022,Ikeja,PTC,11 KV,Breaker,FAULTY OPEBI 11KV BREAKER,OPEBI
30/10/2022,Ikeja,OGBA,Not Specified,Transformer,"PLANNED OUTAGE REQUEST ON T4, 100MVA OGBA TS",OGBA
01/11/2022,Shomolu,OGUDU,Not Specified,Notification,CNN REQUIRED FOR KUJORE 2 500KVA S/S,OGUDU
03/11/2022,Ikeja,PTC,33 KV,Feeder,OUTAGE ON MARYLAND PTC 33KV FEEDER,"ODUDUWA WAY, ADEKUNLE FAJUYI (PART), ABIEYUWA AMADASUN STREET, ODUDUWA CRESCENT (PART), SASEGBON STREET, SOBO AROBIODUN STREET (PART), REMI FANI KAYODE AVENUE (PART), ODUDUWA STREET, ISAAC JOHN ROAD, MOBOLAJI BANK ANTHONY WAY (PART)"
03/11/2022,Ikeja,OJODU,33 KV,Feeder,EMERGENCY OUTAGE ON OJODU 33KV,"OJODU, LAGOS-IBADAN EXP"
03/11/2022,Oshodi,IJEGUN,Not Specified,Breaker,ISHERI BRAKER FAULTY,ISHERI-OSHUN
04/11/2022,Ikeja,OGBA,Not Specified,Transformer,EMERGENCY OUTAGE ON T3 60MVA OGBA TS," IFAKO, MONGORO, OBA AKRAN, AGEGE, AJAO, ADENIYI JONES, ANTHONY YOUDEIOWEI, TOPE SHONUBI, ROTIMI WILLIAMS, OSOBA, OPE-ILU"
05/11/2022,Akowonjo,goWON-ESTATE,Not Specified,Transformer (N/S),LOW OIL BREAKDOWN VOLTAGE VALUE.,ALHAJIIDOWU DT AND CASH DT
05/11/2022,Akowonjo,GOWON-ESTATE,Not Specified,DT,FHA3 500KVA DTS DROPPED 3NO JNP AND WILL REQUIRE THOROUGH FORENSIC TEST INVESTIGATIONS BEFORE RESTORATION,FHA3 500KVA DT
05/11/2022,Abule Egba,iJAIye,33 KV,Breaker,33KV BREAKER FAULT AWAITING TCN CREW ATTENTION,ABEOKUTA-EXP
06/11/2022,Shomolu,oworo,Not Specified,Notification,REQUEST TO NOTIFY OUR CUSTOMERS ON 11-OWOROINJ-T3-GBAGADA FEEDER THE REASON FOR THEIR OUTAGE,GBAGADA
06/11/2022,Ikeja,OGBA,132 KV,Feeder,TRIPPING ON ALIMOSHO OGBA 132KV LINE,"IKEJA, GRA, OGBA ABULE EGBA AND ENVIRON"
08/11/2022,Abule Egba,FAGBA,33 KV,Feeder,EMERGENCY OUTAGE ON IPAJA-EKORO 33KV FEEDER,IPAJA-EKORO
08/11/2022,Ikeja,OGBA,Not Specified,Transformer,EMERGENCY OUTAGE ON T3 60MVA OGBA TS,OGBA
08/11/2022,Abule Egba,IJAIYE,Not Specified,Transformer,EMERGENCY OUTAGE ON T2-60MVA OTA TS,OTA
08/11/2022,Ikeja,IFAKO,Not Specified,Feeder,OUTAGE ON 11KV FEEDER,IFAKO
09/11/2022,Ikeja,PTC,Not Specified,Transformer (N/S),FAULT ON AINA ELEKO 500KVA,AINA ELEKO
09/11/2022,Shomolu,OLAWORA,Not Specified,Transformer (N/S),LOW INSULATION AT 11-OLOWORAINJ-T1-UNILAG-UNILAG 1,UNILAG
10/11/2022,Oshodi,OKOTA,Not Specified,Transformer,EMERGENCY OUTAGE ON T2 60MVA ITIRE,ITIRE
10/11/2022,Akowonjo,DOPEMU,Not Specified,Transformer,EMERGENCY OUTAGE ON T2 100MVA ALIMOSHO,ALIMOSHO
